1,2,Trans,Match,Major
V7,I,V7-I,Yes,Major
II,I64,II-I64,No,Major
bII,bVI,bII-bVI,No,Major
I,V,I-V,No,Major
II,I64,II-I64,No,Major
bII,bVI,bII-bVI,No,Major
I,V,I-V,No,Major
bII,bVI,bII-bVI,No,Major
IV,I,IV-I,No,Major
bII,bVI,bII-bVI,No,Major
I,V,I-V,No,Major
I,V7,I-V7,Yes,Major
V7,II65,V7-II65,Yes,Major
gerVI,V7,gerVI-V7,Yes,Major
V7,I,V7-I,Yes,Major
I6,VI,I6-VI,Yes,Major
VI,II,VI-II,Yes,Major
II,V,II-V,Yes,Major
V,II,V-II,Yes,Major
V6,III,V6-III,No,Major
IV6,II,IV6-II,No,Major
III,VI,III-VI,No,Major
IV6,V64,IV6-V64,Yes,Major
V64,II65,V64-II65,Yes,Major
II65,II65,II65-II65,Yes,Major
II65,V64,II65-V64,Yes,Major
II6,II6,II6-II6,Yes,Major
II6,II65,II6-II65,Yes,Major
II65,V64,II65-V64,Yes,Major
V64,I,V64-I,Yes,Major
IV,I,IV-I,Yes,Major
IV64,I,IV64-I,Yes,Major
VI6,VI6,VI6-VI6,No,Major
I64,IV,I64-IV,No,Major
bII,bVI,bII-bVI,No,Major
I,V,I-V,No,Major
I64,V,I64-V,No,Major
I,V,I-V,Yes,Major
V,IV6,V-IV6,Yes,Major
IV6,I,IV6-I,Yes,Major
I,V,I-V,Yes,Major
V,VI,V-VI,Yes,Major
VI,II6,VI-II6,Yes,Major
II6,III,II6-III,Yes,Major
V65,I,V65-I,Yes,Major
I,V43,I-V43,Yes,Major
V43,I6,V43-I6,Yes,Major
I6,IV,I6-IV,Yes,Major
IV,II65,IV-II65,Yes,Major
II65,V,II65-V,Yes,Major
V,I,V-I,Yes,Major
I,V,I-V,Yes,Major
V,IV6,V-IV6,Yes,Major
IV6,I,IV6-I,Yes,Major
I,IV6,I-IV6,Yes,Major
IV6,V64,IV6-V64,Yes,Major
V64,IV,V64-IV,Yes,Major
V6,I,V6-I,Yes,Major
I,IV6,I-IV6,Yes,Major
IV6,II65,IV6-II65,Yes,Major
II65,I,II65-I,Yes,Major
bII,bVI,bII-bVI,No,Major
IV,I,IV-I,No,Major
bII6,bVI,bII6-bVI,No,Major
I6,V,I6-V,No,Major
bII,bVI,bII-bVI,No,Major
IV,I,IV-I,No,Major
I,II,I-II,No,Major
III,VI6,III-VI6,No,Major
bVI6,bII,bVI6-bII,No,Major
V6,I,V6-I,No,Major
bVI,bII,bVI-bII,No,Major
I,IV,I-IV,No,Major
bII,bVI,bII-bVI,No,Major
IV,I,IV-I,No,Major
bII6,bVI,bII6-bVI,No,Major
I6,V,I6-V,No,Major
bVI,bII6,bVI-bII6,No,Major
V,I6,V-I6,No,Major
bVI6,bII,bVI6-bII,No,Major
I6,IV,I6-IV,No,Major
bVI,bII6,bVI-bII6,No,Major
V,I6,V-I6,No,Major
I,gerVI,I-gerVI,Yes,Major
gerVI,V,gerVI-V,Yes,Major
V,itaVI,V-itaVI,Yes,Major
itaVI,gerVI,itaVI-gerVI,Yes,Major
gerVI,V,gerVI-V,Yes,Major
V,itaVI,V-itaVI,Yes,Major
itaVI,gerVI,itaVI-gerVI,Yes,Major
gerVI,V43,gerVI-V43,Yes,Major
V43,gerVI,V43-gerVI,Yes,Major
gerVI,V6,gerVI-V6,Yes,Major
V6,gerVI,V6-gerVI,Yes,Major
gerVI,V43,gerVI-V43,Yes,Major
V43,gerVI,V43-gerVI,Yes,Major
gerVI,V6,gerVI-V6,Yes,Major
II,II6,II-II6,Yes,Major
V6,I,V6-I,Yes,Major
VI,VI6,VI-VI6,No,Major
bVI6,bII,bVI6-bII,No,Major
I6,IV,I6-IV,No,Major
II,dimVII7,II-dimVII7,Yes,Major
dimVII7,I,dimVII7-I,Yes,Major
I,V64,I-V64,Yes,Major
V64,I,V64-I,Yes,Major
IV,I64,IV-I64,No,Major
I64,IV,I64-IV,No,Major
I,dimVII65,I-dimVII65,Yes,Major
dimVII65,I6,dimVII65-I6,Yes,Major
V64,II6,V64-II6,Yes,Major
V7,V64,V7-V64,Yes,Major
V64,II6,V64-II6,Yes,Major
V7,I,V7-I,Yes,Major
I,V65,I-V65,Yes,Major
V65,I,V65-I,Yes,Major
I,V65,I-V65,Yes,Major
V65,I,V65-I,Yes,Major
I,V,I-V,Yes,Major
V,I6,V-I6,Yes,Major
